COUNTYFIPS,NAME,STATEPLANEFIPS,EPSG
20073,Greenwood County,1502,26978
20071,Greeley County,1502,26978
37195,Wilson County,3200,32119
37197,Yadkin County,3200,32119
37191,Wayne County,3200,32119
37193,Wilkes County,3200,32119
20079,Harvey County,1502,26978
08079,Mineral County,0503,26955
08071,Las Animas County,0503,26955
08073,Lincoln County,0502,26954
08075,Logan County,0501,26953
08077,Mesa County,0502,26954
72097,Mayagüez Muno,5200,32161
20205,Wilson County,1502,26978
18165,Vermillion County,1302,26974
72093,Maricao Muno,5200,32161
18161,Union County,1301,26973
28023,Clarke County,2301,26994
18169,Wabash County,1301,26973
08097,Pitkin County,0502,26954
08095,Phillips County,0501,26953
08093,Park County,0502,26954
19037,Chickasaw County,1401,26975
20201,Washington County,1501,26977
08099,Prowers County,0503,26955
29127,Marion County,2401,26996
17045,Edgar County,1201,26971
29125,Maries County,2402,26997
16023,Butte County,1102,26969
29123,Madison County,2401,26996
28027,Coahoma County,2302,26995
29121,Macon County,2402,26997
20139,Osage County,1502,26978
29129,Mercer County,2402,26997
16025,Camas County,1102,26969
30089,Sanders County,2500,32100
16027,Canyon County,1103,26970
35049,Santa Fe County,3002,32113
35045,San Juan County,3003,32114
35047,San Miguel County,3001,32112
35041,Roosevelt County,3001,32112
35043,Sandoval County,3002,32113
48391,Refugio County,4204,32140
20131,Nemaha County,1501,26977
55139,Winnebago County,4803,32154
72023,Cabo Rojo Muno,5200,32161
55137,Waushara County,4803,32154
48395,Robertson County,4203,32139
55135,Waupaca County,4802,32153
55133,Waukesha County,4803,32154
55131,Washington County,4803,32154
01065,Hale County,0102,26930
31105,Kimball County,2600,32104
31107,Knox County,2600,32104
31101,Keith County,2600,32104
31103,Keya Paha County,2600,32104
31109,Lancaster County,2600,32104
72027,Camuy Muno,5200,32161
37101,Johnston County,3200,32119
47013,Campbell County,4100,32136
47011,Bradley County,4100,32136
47017,Carroll County,4100,32136
47015,Cannon County,4100,32136
29005,Atchison County,2403,26998
47019,Carter County,4100,32136
39157,Tuscarawas County,3401,32122
19165,Shelby County,1402,26976
39155,Trumbull County,3401,32122
19167,Sioux County,1401,26975
